sim_time,clean_position,clean_velocity,dirty_position,dirty_velocity
0.096,-0.030040217626460072,6.28,-0.08665729017607471,6.470407434017457
0.128,-0.030040217626460072,6.28,-0.10903531671929205,6.6682974763442475
0.16,-0.0232309151264599,6.28,0.07579189765054167,6.437881902907248
0.192,-0.0162154863764596,6.28,-0.05272786807350264,6.067059862262186
0.224,-0.009440916376459902,6.28,-0.1697545708885229,6.320288576925424
0.256,-0.0030542201264591624,6.28,-0.4301911134517128,6.4117264944931485
0.28800000000000003,0.003597342373539712,6.28,-0.3279083437541782,6.807359138947528
0.32,0.010344563623539992,6.28,0.16410126770924247,6.31800013772856
0.352,0.017361683623540708,6.28,-0.13042252420633135,6.344285702961731
0.384,0.024010853623539996,6.28,-0.09550338772782382,6.2962891879249545
0.41600000000000004,0.03068745487354037,6.28,0.09598475567164212,6.38338557714912
0.448,0.03731393737354066,6.28,0.18236714738024923,6.537886036865648
0.48,0.05091072112354076,6.28,0.21752724993700687,6.031969799944449
0.512,0.057260663623539564,6.28,0.19941121312730217,6.206217504385922
0.544,0.057260663623539564,6.28,0.1609420528333283,6.1963513791619675
0.5760000000000001,0.06379297237354033,6.28,0.0029739722989423623,6.365912013191863
0.608,0.07031500987353982,6.28,0.08201239914273148,6.267857827489382
0.64,0.07701446362354065,6.28,0.40377478867393884,6.441171522013969
0.672,0.0836112461235409,6.28,-0.34654025389447063,6.232540958593892
0.704,0.09038911612353977,6.28,-0.1134443549036692,6.258703228428788
0.736,0.09694889737354058,6.28,0.08907646190160792,6.600008309987689
0.768,0.10353623362353935,6.28,0.553166934772993,5.858159168562737
0.8,0.11048025862354079,6.28,0.23844408727943062,6.703815416854185
0.8320000000000001,0.11664832987354012,6.28,0.20611463216398354,6.428937848771891
0.864,0.12366524362354042,6.28,0.11540830086667138,6.153874904147598
0.896,0.13043040862353947,6.28,0.2803632714260056,6.215285901680415
0.928,0.13690810237353931,6.28,-0.2088532048476993,6.459616390242821
0.96,0.1434499811235403,6.28,-0.1587455215509571,6.558505051425294
0.992,0.15024711487354023,6.28,0.17778634522405157,6.667696531209926
1.024,0.15714757987354097,6.28,0.1020759831821483,6.162132521634099
1.056,0.1641622661235394,6.28,0.2734590451502932,6.3918266648355795
1.088,0.1706485398735401,6.28,-0.012957353578077951,5.936747896113
1.12,0.1773748473735397,6.28,0.21375685793071386,6.228897892164143
1.1520000000000001,0.1836251711235396,6.28,0.3001637908686613,6.232567372493849
1.184,0.19018132237354018,6.28,0.16934564647041483,6.163888693863358
